date,amount,merchant,category
2026-01-04,980,セブンイレブン,消耗品費
2026-01-05,1200,ローソン,消耗品費
2026-01-06,860,スターバックス,会議費
2026-01-06,2200,ドトール,会議費
2026-01-07,1940,JR東日本,交通費
2026-01-08,3200,ヤマト運輸,その他
2026-01-09,1480,Amazon,消耗品費
2026-01-10,5000,ビックカメラ,消耗品費
2026-01-11,1100,マクドナルド,会議費
2026-01-12,2600,東京メトロ,交通費
2026-01-13,980,ファミリーマート,消耗品費
2026-01-14,6800,出前館,交際費
2026-01-15,1580,ヨドバシカメラ,消耗品費
2026-01-16,330,駅の売店,消耗品費
2026-01-17,4200,新幹線,交通費
2026-01-18,9800,ホテル東横イン,旅費
2026-01-19,1200,サイゼリヤ,交際費
2026-01-20,3000,コワーキング利用料,会議費
2026-01-21,980,セブンイレブン,消耗品費
2026-01-22,4400,UberTaxi,交通費
2026-01-23,12800,APAホテル,旅費
2026-01-24,2100,JR東日本,交通費
2026-01-25,560,CanDo,消耗品費
2026-01-26,3980,楽天市場,消耗品費
2026-01-27,8800,会食代,交際費
2026-01-28,1500,郵便局,その他
2026-01-29,1650,東京メトロ,交通費
2026-01-30,4800,ソフトバンク,通信費
2026-01-31,920,スターバックス,会議費
